user_id,wallet_id,ip_address,amount,tx_type,timestamp,location,device,is_night
user_102,wallet_435,192.168.1.93,60.79,exchange,2025-06-11 16:38:21,BR,desktop,0
user_214,wallet_330,192.168.1.203,603.37,exchange,2025-06-23 04:35:21,IN,desktop,0
user_769,wallet_343,192.168.1.236,836.87,stake,2025-07-31 08:27:21,DE,mobile,0
user_459,wallet_313,192.168.1.22,2.13,transfer,2025-07-17 05:20:21,BR,desktop,1
user_475,wallet_699,192.168.1.208,79.49,stake,2025-06-06 06:04:21,CN,tablet,1
user_566,wallet_243,192.168.1.64,188.64,transfer,2025-08-01 08:08:21,BR,mobile,0
user_166,wallet_273,192.168.1.132,855.24,stake,2025-06-13 16:09:21,UK,mobile,1
user_564,wallet_897,192.168.1.84,82.74,exchange,2025-07-01 07:43:21,RU,tablet,0
user_205,wallet_80,192.168.1.164,60.35,exchange,2025-07-21 12:41:21,CN,desktop,1
user_105,wallet_771,192.168.1.54,9.54,stake,2025-06-14 18:09:21,DE,desktop,1
user_957,wallet_995,192.168.1.14,389.78,contract_call,2025-05-30 07:15:21,CN,tablet,1
user_701,wallet_295,192.168.1.213,147.64,stake,2025-06-07 13:00:21,RU,desktop,0
user_763,wallet_187,192.168.1.124,96.89,transfer,2025-06-29 11:24:21,RU,mobile,0
user_838,wallet_520,192.168.1.88,150.7,exchange,2025-07-01 13:48:21,IN,tablet,0
user_391,wallet_674,192.168.1.163,442.56,transfer,2025-08-01 13:37:21,BR,desktop,0
user_27,wallet_134,192.168.1.201,292.89,stake,2025-06-28 18:02:21,BR,tablet,1
user_727,wallet_804,192.168.1.99,268.43,stake,2025-07-18 00:00:21,IN,mobile,0
user_612,wallet_942,192.168.1.206,566.97,transfer,2025-05-27 10:12:21,BR,desktop,0
user_794,wallet_392,192.168.1.207,167.34,stake,2025-07-18 18:39:21,RU,tablet,0
user_863,wallet_742,192.168.1.241,113.22,exchange,2025-06-03 23:19:21,CN,mobile,0
user_230,wallet_748,192.168.1.143,422.62,exchange,2025-06-26 06:38:21,BR,tablet,0
user_85,wallet_795,192.168.1.66,293.73,stake,2025-06-30 22:58:21,RU,desktop,1
user_27,wallet_619,192.168.1.44,161.62,stake,2025-07-19 21:04:21,UK,tablet,1
user_472,wallet_230,192.168.1.190,34.98,transfer,2025-06-18 14:56:21,CN,mobile,1
